OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0070158438757061958" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.005091383121907711" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0025456915609538555" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0064066988416016102" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0032033494208008051" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.011613890528678894" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.005806945264339447" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0026891031302511692" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0013445515651255846" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0016666207229718566" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0008333103614859283" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0006642876542173326" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0003321438271086663" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0011935073416680098" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00059675367083400488" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00907855574041605" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.004539277870208025" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00078130234032869339" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00039065117016434669" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0013530822470784187" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00067654112353920937" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0020079661626368761" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0010039830813184381" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.016709407791495323" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0083547038957476616" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.024641633033752441" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.012320816516876221" 
0, mujets, down_DeltaR, 1, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.018974192440509796" 
0, mujets, down_DeltaR, 0, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0094870962202548981" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0014054891653358936" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00070274458266794682" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0014462070539593697" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00072310352697968483" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00055517751025035977" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.00027758875512517989" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0074361544102430344" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0037180772051215172" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0099058188498020172" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0049529094249010086" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0067588388919830322" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0033794194459915161" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0099608814343810081" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0049804407171905041" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0093170851469039917" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0046585425734519958" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0042499108240008354" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0021249554120004177" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.014693809673190117" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 160, 210, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0073469048365950584" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.016857413575053215" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 210, 260, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0084287067875266075" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.012783467769622803" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 260, 320, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.0063917338848114014" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.050745431333780289" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 320, 400, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.025372715666890144" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.050750408321619034" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 400, 500, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.025375204160809517" 
0, mujets, down_GluonSplitting, 1, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.020902032032608986" 
0, mujets, down_GluonSplitting, 0, -2.4, 2.4, 500, 670, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0.010451016016304493" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 30, 40, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 40, 50, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 50, 60, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 60, 70, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 70, 80, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 80, 100, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 100, 120, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 1, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
0, mujets, down_IFSR, 0, -2.4, 2.4, 120, 160, 0, 1, "(0.989727*((1.+(0.00121759*x))/(1.+(0.00128185*x))))-0" 
