OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 0, -2.4, 2.4, 600, 800, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.035010099411010742" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 20, 30, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0093520265072584152" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0046760132536292076" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 30, 40, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0078006801195442677" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 30, 40, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0039003400597721338" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 40, 50, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0054889600723981857" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 40, 50, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0027444800361990929" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 50, 60, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0061250198632478714" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 50, 60, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0030625099316239357" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 60, 70, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0064025400206446648" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 60, 70, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0032012700103223324" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 70, 80, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0018988460069522262" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 70, 80, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00094942300347611308" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00544370012357831" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 80, 100, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.002721850061789155" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0052597997710108757" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 100, 120, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0026298998855054379" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0026316400617361069" 
0, mujets, down_BFragmentation, 0, -2.4, 2.4, 120, 160, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.0013158200308680534" 
0, mujets, down_BFragmentation, 1, -2.4, 2.4, 160, 210, 0, 1, "(1.00572*((1.+(0.013676*x))/(1.+(0.0143279*x))))-0.00184390798676759" 
